                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.70392,                0.54206,                 1.1093,                0.99379,                0.56667,                0.71648,                0.63775,                0.82804,                 1.1218,                 1.0751,               0.003763,               0.003763,               0.003763
                     65,                0.65464,                0.47224,                  1.097,                      1,                0.56375,                0.70188,                0.61082,                0.86631,                  1.184,                 1.0918,               0.003664,               0.003664,               0.003664
                     66,                0.65133,                0.49664,                 1.0921,                 0.9942,                    0.6,                0.70286,                0.62773,                0.82751,                0.99464,                 1.0696,               0.003565,               0.003565,               0.003565
                     67,                0.68243,                0.47938,                 1.1371,                0.99554,                0.66667,                0.72018,                0.64893,                0.81411,                0.88624,                 1.0718,               0.003466,               0.003466,               0.003466
                     68,                0.60465,                0.46684,                 1.0832,                0.99338,                0.66667,                0.72205,                0.65806,                 0.7905,                 0.8728,                 1.0508,               0.003367,               0.003367,               0.003367
                     69,                0.64902,                0.51429,                 1.0723,                0.99543,                0.66667,                0.72973,                0.66331,                0.76291,                0.78187,                 1.0292,               0.003268,               0.003268,               0.003268
                     70,                0.61647,                0.46123,                 1.0539,                0.99694,                0.66667,                0.71309,                0.64391,                0.77757,                0.79416,                 1.0519,               0.003169,               0.003169,               0.003169
                     71,                0.64612,                0.50544,                 1.0743,                0.99811,                0.66667,                0.71175,                0.65294,                0.78008,                0.83641,                 1.0632,                0.00307,                0.00307,                0.00307
                     72,                0.57232,                 0.4452,                 1.0446,                0.99637,                0.66667,                0.71049,                0.64684,                0.82729,                0.80727,                 1.1085,               0.002971,               0.002971,               0.002971
                     73,                0.61866,                0.44477,                 1.0717,                0.99642,                0.66667,                0.72511,                0.66012,                0.81357,                0.82401,                 1.1064,               0.002872,               0.002872,               0.002872
                     74,                0.59382,                0.42608,                 1.0432,                0.99644,                0.66667,                0.72973,                 0.6715,                0.79243,                0.81459,                 1.1009,               0.002773,               0.002773,               0.002773
                     75,                 0.5913,                0.46728,                 1.0564,                0.99654,                0.66667,                0.72511,                0.66409,                0.79291,                0.80151,                 1.1071,               0.002674,               0.002674,               0.002674
                     76,                0.58473,                0.46574,                  1.079,                0.99688,                0.66667,                0.73817,                0.67597,                0.75268,                0.75534,                  1.083,               0.002575,               0.002575,               0.002575
                     77,                0.58594,                0.43154,                 1.0291,                0.99689,                0.66667,                0.74915,                0.68286,                0.75193,                0.73649,                 1.0912,               0.002476,               0.002476,               0.002476
                     78,                0.63869,                0.47127,                 1.0718,                0.99693,                0.66667,                 0.7716,                0.67791,                0.74874,                0.73815,                 1.0836,               0.002377,               0.002377,               0.002377
                     79,                 0.5314,                0.41468,                 1.0029,                0.99698,                0.66667,                0.76009,                 0.6769,                0.77464,                0.80696,                 1.0791,               0.002278,               0.002278,               0.002278
                     80,                0.58082,                0.48333,                 1.0521,                 0.9969,                0.66667,                0.72733,                0.66663,                0.79723,                 0.8226,                 1.0662,               0.002179,               0.002179,               0.002179
                     81,                0.56742,                0.46191,                 1.0281,                0.99713,                0.66667,                 0.7145,                0.64675,                0.80453,                0.79804,                 1.0695,                0.00208,                0.00208,                0.00208
                     82,                0.59829,                0.42654,                 1.0676,                0.99717,                0.66667,                 0.7262,                0.65689,                0.82312,                0.77868,                 1.0863,               0.001981,               0.001981,               0.001981
                     83,                0.56901,                0.41952,                 1.0269,                0.99672,                0.66667,                0.74328,                0.66566,                0.84725,                 0.7442,                 1.1369,               0.001882,               0.001882,               0.001882
                     84,                0.58541,                 0.4162,                 1.0452,                0.99723,                0.66667,                  0.764,                0.68652,                 0.7872,                0.66904,                 1.0907,               0.001783,               0.001783,               0.001783
                     85,                0.54797,                0.40254,                 1.0119,                 0.9971,                0.66667,                0.75597,                0.68466,                0.75668,                0.61771,                 1.0752,               0.001684,               0.001684,               0.001684
                     86,                0.54173,                0.37172,                 1.0305,                0.99694,                0.66667,                0.76117,                0.68826,                0.78787,                0.66362,                 1.0937,               0.001585,               0.001585,               0.001585
                     87,                0.51863,                0.40822,                  1.003,                0.99654,                0.66667,                0.73817,                0.66771,                0.80234,                0.70261,                 1.1077,               0.001486,               0.001486,               0.001486
                     88,                 0.5378,                0.40566,                 1.0218,                0.99645,                0.66667,                 0.7211,                 0.6541,                0.80923,                0.71231,                 1.1017,               0.001387,               0.001387,               0.001387
                     89,                0.58309,                0.43698,                 1.0472,                0.99643,                0.66667,                0.74951,                0.66239,                0.74419,                0.74455,                 1.0395,               0.001288,               0.001288,               0.001288
                     90,                0.55534,                0.41091,                 1.0405,                0.99685,                0.66667,                0.71843,                0.65429,                0.76583,                0.75922,                 1.0611,               0.001189,               0.001189,               0.001189
                     91,                0.53943,                0.41337,                 1.0432,                0.99707,                0.66667,                0.73369,                0.67224,                 0.7386,                0.70424,                 1.0455,                0.00109,                0.00109,                0.00109
                     92,                0.49996,                0.38721,                 1.0311,                0.99718,                0.66667,                0.74937,                0.65493,                0.72837,                0.69498,                 1.0465,               0.000991,               0.000991,               0.000991
                     93,                0.51139,                0.35903,                0.99712,                 0.9977,                0.66667,                0.73232,                0.66543,                 0.7333,                 0.7021,                 1.0509,               0.000892,               0.000892,               0.000892
                     94,                0.50555,                0.38574,                 1.0021,                0.99729,                0.66667,                 0.7602,                0.67409,                0.72872,                0.70872,                 1.0509,               0.000793,               0.000793,               0.000793
                     95,                0.49602,                0.35335,                0.97048,                0.99691,                0.66667,                0.72973,                0.66252,                0.72493,                0.67076,                 1.0503,               0.000694,               0.000694,               0.000694
                     96,                0.49538,                0.35163,                 0.9908,                0.99704,                0.66667,                0.73232,                0.65491,                0.74799,                0.69233,                 1.0574,               0.000595,               0.000595,               0.000595
                     97,                0.51026,                0.35813,                 1.0312,                      1,                0.66664,                0.73232,                0.67207,                0.74837,                0.70199,                 1.0543,               0.000496,               0.000496,               0.000496
                     98,                0.55316,                 0.4314,                  1.071,                 0.9989,                0.66667,                0.73817,                0.66598,                0.74712,                0.69341,                 1.0496,               0.000397,               0.000397,               0.000397
                     99,                  0.561,                0.39936,                 1.0563,                 0.9983,                0.66667,                 0.7398,                0.66817,                0.73352,                0.68355,                  1.048,               0.000298,               0.000298,               0.000298
